Query_id, Rank, Doc_id, Score, Relevant/NRelevant, Precision, Recall
1, 1, CACM-1657, 0.33750585, 0, 0.0, 0.0
1, 2, CACM-1410, 0.32017016, 1, 0.5, 0.2
1, 3, CACM-2319, 0.3107554, 0, 0.333333333333, 0.2
1, 4, CACM-1938, 0.2908424, 0, 0.25, 0.2
1, 5, CACM-1827, 0.2730184, 0, 0.2, 0.2
1, 6, CACM-2218, 0.271191, 0, 0.166666666667, 0.2
1, 7, CACM-2054, 0.26818994, 0, 0.142857142857, 0.2
1, 8, CACM-1844, 0.25575674, 0, 0.125, 0.2
1, 9, CACM-2629, 0.24144943, 0, 0.111111111111, 0.2
1, 10, CACM-1605, 0.24081405, 1, 0.2, 0.4
1, 11, CACM-2357, 0.23914199, 0, 0.181818181818, 0.4
1, 12, CACM-1591, 0.22874153, 0, 0.166666666667, 0.4
1, 13, CACM-1161, 0.22769247, 0, 0.153846153846, 0.4
1, 14, CACM-1033, 0.22494456, 0, 0.142857142857, 0.4
1, 15, CACM-2378, 0.2191992, 0, 0.133333333333, 0.4
1, 16, CACM-2379, 0.21745548, 0, 0.125, 0.4
1, 17, CACM-1749, 0.21408209, 0, 0.117647058824, 0.4
1, 18, CACM-2535, 0.21299793, 0, 0.111111111111, 0.4
1, 19, CACM-1698, 0.20960507, 0, 0.105263157895, 0.4
1, 20, CACM-1487, 0.20880708, 0, 0.1, 0.4
1, 21, CACM-2371, 0.20749682, 0, 0.0952380952381, 0.4
1, 22, CACM-2541, 0.20726359, 0, 0.0909090909091, 0.4
1, 23, CACM-2947, 0.20592086, 0, 0.0869565217391, 0.4
1, 24, CACM-2950, 0.20244622, 0, 0.0833333333333, 0.4
1, 25, CACM-1506, 0.20209515, 0, 0.08, 0.4
1, 26, CACM-1519, 0.19696885, 0, 0.0769230769231, 0.4
1, 27, CACM-2151, 0.19587702, 0, 0.0740740740741, 0.4
1, 28, CACM-2501, 0.19558522, 0, 0.0714285714286, 0.4
1, 29, CACM-2424, 0.19448917, 0, 0.0689655172414, 0.4
1, 30, CACM-1572, 0.19347432, 1, 0.1, 0.6
1, 31, CACM-2946, 0.18897352, 0, 0.0967741935484, 0.6
1, 32, CACM-1908, 0.18683851, 0, 0.09375, 0.6
1, 33, CACM-2632, 0.18463595, 0, 0.0909090909091, 0.6
1, 34, CACM-2219, 0.18462968, 0, 0.0882352941176, 0.6
1, 35, CACM-2344, 0.18107706, 0, 0.0857142857143, 0.6
1, 36, CACM-1805, 0.18029737, 0, 0.0833333333333, 0.6
1, 37, CACM-0637, 0.17816485, 0, 0.0810810810811, 0.6
1, 38, CACM-1225, 0.17750925, 0, 0.0789473684211, 0.6
1, 39, CACM-1544, 0.17487586, 0, 0.0769230769231, 0.6
1, 40, CACM-1408, 0.17399006, 0, 0.075, 0.6
1, 41, CACM-1523, 0.17374736, 0, 0.0731707317073, 0.6
1, 42, CACM-1391, 0.17296876, 0, 0.0714285714286, 0.6
1, 43, CACM-1752, 0.17182368, 0, 0.0697674418605, 0.6
1, 44, CACM-2003, 0.17017375, 0, 0.0681818181818, 0.6
1, 45, CACM-1647, 0.16848633, 0, 0.0666666666667, 0.6
1, 46, CACM-2380, 0.16596164, 0, 0.0652173913043, 0.6
1, 47, CACM-0585, 0.16525848, 0, 0.063829787234, 0.6
1, 48, CACM-1071, 0.16205373, 0, 0.0625, 0.6
1, 49, CACM-1226, 0.16161846, 0, 0.0612244897959, 0.6
1, 50, CACM-2764, 0.1569391, 0, 0.06, 0.6
1, 51, CACM-1393, 0.15568437, 0, 0.0588235294118, 0.6
1, 52, CACM-2948, 0.15466574, 0, 0.0576923076923, 0.6
1, 53, CACM-1680, 0.15207314, 0, 0.0566037735849, 0.6
1, 54, CACM-0698, 0.151287, 0, 0.0555555555556, 0.6
1, 55, CACM-1685, 0.15038346, 0, 0.0545454545455, 0.6
1, 56, CACM-1462, 0.15010586, 0, 0.0535714285714, 0.6
1, 57, CACM-1854, 0.14999086, 0, 0.0526315789474, 0.6
1, 58, CACM-1464, 0.14995599, 0, 0.051724137931, 0.6
1, 59, CACM-2500, 0.14995034, 0, 0.0508474576271, 0.6
1, 60, CACM-2920, 0.1495041, 0, 0.05, 0.6
1, 61, CACM-1750, 0.14587095, 0, 0.0491803278689, 0.6
1, 62, CACM-3068, 0.14556962, 0, 0.0483870967742, 0.6
